"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.033102740E1,1.830509305E-1,2.602194548E0,9.435498238E0
3.040314632E1,2.165504545E-1,2.649452925E0,9.425926208E0
3.042117486E1,1.980060786E-1,2.663809776E0,9.435498238E0
3.043920514E1,2.123630047E-1,2.687737942E0,9.430712700E0
3.045723303E1,2.416750938E-1,2.706282377E0,9.458827972E0
3.047526226E1,2.560320199E-1,2.720639229E0,9.439684868E0
3.049329126E1,2.368894368E-1,2.715853691E0,9.430113792E0
3.051132135E1,2.847459018E-1,2.739183664E0,9.449256897E0
3.052934893E1,3.032902777E-1,2.743969440E0,9.410971642E0
3.054737872E1,2.470589429E-1,2.802593470E0,9.267401695E0
3.056540667E1,2.997010350E-1,2.858824968E0,9.248259544E0
3.058343737E1,3.996013701E-1,2.880958557E0,9.309874535E0
3.060146429E1,4.187439680E-1,2.842075109E0,9.458230019E0
3.061949377E1,4.085744619E-1,2.828316450E0,9.305088997E0
3.063752215E1,3.326023519E-1,2.834896564E0,9.186046600E0
3.065555236E1,2.901297510E-1,2.839682341E0,9.329017639E0
3.067358044E1,3.002992272E-1,2.854039192E0,9.367302895E0
3.069161047E1,3.236292601E-1,2.877369165E0,9.290732384E0
3.070963806E1,3.188436031E-1,2.877967358E0,9.171689034E0
3.072766809E1,3.044866920E-1,2.873181820E0,9.229117393E0
3.074569555E1,3.050848842E-1,2.882753134E0,9.281160355E0
3.076372467E1,3.278166950E-1,2.839682341E0,9.272188187E0
3.078175354E1,4.229314029E-1,2.833101988E0,9.314660072E0
3.079978375E1,4.181457460E-1,2.833101988E0,9.314660072E0
3.081780798E1,3.607180119E-1,2.800798893E0,9.300901413E0
3.083582684E1,3.469592929E-1,2.809772015E0,9.381659508E0
3.085386944E1,3.236292601E-1,2.819941521E0,9.424730301E0
3.087189935E1,2.662015259E-1,2.810968399E0,9.387042999E0
3.088993090E1,2.757728100E-1,2.820539713E0,9.424730301E0
3.090795660E1,2.524427772E-1,2.834896564E0,9.382257462E0
3.092598492E1,2.039881349E-1,2.778665304E0,9.339186668E0
3.094401477E1,2.512463629E-1,2.744567633E0,9.348757744E0
3.096204327E1,2.650051117E-1,2.739781857E0,9.334401131E0
3.098007312E1,2.464607358E-1,2.725425005E0,9.377471924E0
3.099810076E1,2.129612118E-1,2.702095032E0,9.444471359E0
3.101613067E1,2.081755698E-1,2.697309256E0,9.458827972E0
3.103415820E1,1.890329868E-1,2.721237659E0,9.449256897E0
3.105218731E1,2.081755698E-1,2.716451883E0,9.420542717E0
3.107021612E1,2.027917206E-1,2.697309256E0,9.401998520E0
3.108824633E1,1.938186288E-1,2.687737942E0,9.435498238E0
3.110627502E1,1.884347796E-1,2.673381090E0,9.425926208E0
3.112430407E1,1.597209126E-1,2.626122952E0,9.454640388E0
3.114233197E1,1.262213886E-1,2.621935368E0,9.483354568E0
3.116036193E1,1.166501045E-1,2.602792740E0,9.468997002E0
3.117838928E1,1.214357466E-1,2.602792740E0,9.436096191E0
3.119641882E1,1.166501045E-1,2.588435888E0,9.445667267E0
3.121444757E1,8.315058798E-2,2.574677229E0,9.450452805E0
3.123247772E1,1.070788130E-1,2.588435888E0,9.503094673E0
3.125050567E1,1.166501045E-1,2.583650351E0,9.493523598E0
3.126853527E1,1.064806059E-1,2.564507723E0,9.483952522E0
3.128656378E1,5.443671346E-2,2.570489645E0,9.483952522E0
3.130459503E1,6.879365444E-2,2.555534601E0,9.479166985E0
3.132262078E1,9.690931439E-2,2.550748825E0,9.479166985E0
3.134065026E1,4.486542568E-2,2.560918331E0,9.436096191E0
